中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
150.230.6.108,443,150.230.6.108,JP,Osaka,中转,214 ms,60 Mbps,7751 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,211 ms,33 Mbps,4328 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,216 ms,61 Mbps,7873 kB/s
129.159.22.4,443,129.159.22.4,IN,Chennai,中转,207 ms,27 Mbps,3542 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,184 ms,50 Mbps,6511 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,209 ms,33 Mbps,4278 kB/s
103.137.63.3,443,122.118.142.215,TW,,隧道,190 ms,74 Mbps,9510 kB/s
204.110.220.3,443,204.110.220.206,US,,隧道,81 ms,188 Mbps,24064 kB/s
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,227 ms,0 Mbps,32 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,148 ms,740 Mbps,94720 kB/s
44.230.218.23,443,52.35.136.129,US,,隧道,84 ms,256 Mbps,32870 kB/s
8.218.148.106,443,8.218.148.106,HK,,中转,229 ms,0 Mbps,11 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,27 ms,620 Mbps,79360 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,84 ms,225 Mbps,28876 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,87 ms,193 Mbps,24780 kB/s
54.203.85.46,443,204.110.220.36,US,,隧道,81 ms,200 Mbps,25702 kB/s
18.192.93.64,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,86 ms,264 Mbps,33894 kB/s
3.67.232.136,443,3.68.128.205,DE,,隧道,87 ms,251 Mbps,32153 kB/s
18.185.254.189,443,3.68.128.205,DE,,隧道,87 ms,253 Mbps,32460 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,224 ms,68 Mbps,8804 kB/s
18.159.105.97,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,95 ms,231 Mbps,29593 kB/s
3.66.115.225,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,87 ms,232 Mbps,29798 kB/s
8.222.67.79,443,8.221.33.169,US,Ashburn,隧道,165 ms,92 Mbps,11878 kB/s
18.191.122.211,443,3.130.64.226,US,,隧道,171 ms,672 Mbps,86016 kB/s
3.127.55.133,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,90 ms,240 Mbps,30720 kB/s
193.123.69.77,443,193.123.69.77,AE,,中转,184 ms,39 Mbps,5071 kB/s
35.157.240.237,443,3.68.128.205,DE,,隧道,92 ms,243 Mbps,31129 kB/s
3.68.62.122,443,3.68.128.205,DE,,隧道,98 ms,242 Mbps,31027 kB/s
18.156.209.101,443,3.68.128.205,DE,,隧道,141 ms,244 Mbps,31232 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,84 ms,3 Mbps,477 kB/s
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,170 ms,32 Mbps,4186 kB/s
193.122.53.69,443,2a0b:21c0:1007:1ca:0:685e:9ceb:b921,DE,Frankfurt,隧道,126 ms,144 Mbps,18534 kB/s
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,32 ms,48 Mbps,6218 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,35 ms,96 Mbps,12390 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,110 ms,138 Mbps,17715 kB/s
144.21.63.163,443,2a0b:21c0:1007:1ca:0:ed3:e40:851f,DE,Frankfurt,隧道,89 ms,121 Mbps,15564 kB/s
141.144.200.82,443,2a0b:21c0:1007:ca:0:5746:296f:a0aa,DE,Frankfurt,隧道,134 ms,149 Mbps,19148 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,69 ms,43 Mbps,5589 kB/s
158.101.15.48,443,158.101.15.48,US,Los Angeles,中转,61 ms,298 Mbps,38195 kB/s
152.70.119.237,443,2a09:bac5:6443:28::4:243,US,San Jose,隧道,132 ms,10 Mbps,1313 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,90 ms,136 Mbps,17510 kB/s
130.162.162.154,443,2a0b:21c0:1007:cb:0:3ef7:f596:a073,DE,Frankfurt,隧道,89 ms,140 Mbps,18022 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,100 ms,30 Mbps,3861 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,80 ms,40 Mbps,5228 kB/s
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,187 ms,42 Mbps,5381 kB/s
8.213.137.24,443,8.213.137.24,SG,,中转,185 ms,89 Mbps,11468 kB/s
158.180.65.13,443,158.180.65.13,KR,Seoul,中转,251 ms,36 Mbps,4690 kB/s
152.67.212.141,443,152.67.212.141,KR,Seoul,中转,185 ms,83 Mbps,10649 kB/s
193.122.110.171,443,193.122.110.171,KR,Seoul,中转,228 ms,39 Mbps,5083 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,274 ms,72 Mbps,9322 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,214 ms,34 Mbps,4366 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,253 ms,0 Mbps,110 kB/s
141.145.199.188,443,2603:c027:c002:9a00:b670:5cb3:e47d:8c20,FR,,隧道,153 ms,178 Mbps,22835 kB/s
103.137.63.2,443,61.224.125.18,TW,,隧道,193 ms,69 Mbps,8957 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,212 ms,3 Mbps,468 kB/s
43.204.146.16,443,43.204.146.16,IN,,中转,196 ms,67 Mbps,8689 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,85 ms,224 Mbps,28672 kB/s
144.24.243.207,443,144.24.243.207,CH,,中转,100 ms,142 Mbps,18227 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,66 ms,0 Mbps,39 kB/s
