中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,29 ms,332 Mbps,42598 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,35 ms,758 Mbps,97075 kB/s
129.146.7.98,443,2a09:bac5:60e8:1173::1bd:f1,US,Los Angeles,隧道,18 ms,93 Mbps,11980 kB/s
152.70.119.237,443,2a09:bac5:6443:28::4:243,US,San Jose,隧道,5 ms,51 Mbps,6533 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,24 ms,896 Mbps,114688 kB/s
43.153.80.208,443,43.153.80.208,,colo.txt:San Jose,中转,0 ms,1472 Mbps,188416 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,21 ms,503 Mbps,64409 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,39 ms,583 Mbps,74649 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,31 ms,1848 Mbps,236544 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,29 ms,920 Mbps,117760 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,5 ms,1264 Mbps,161792 kB/s
192.18.134.231,443,192.18.134.231,US,San Jose,中转,47 ms,366 Mbps,46899 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,20 ms,623 Mbps,79769 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,42 ms,64 Mbps,8246 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,135 ms,363 Mbps,46489 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,141 ms,150 Mbps,19251 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,40 ms,104 Mbps,13312 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,23 ms,73 Mbps,9449 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,131 ms,136 Mbps,17408 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,54 ms,401 Mbps,51404 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,106 ms,190 Mbps,24371 kB/s
158.101.15.48,443,158.101.15.48,US,Los Angeles,中转,22 ms,450 Mbps,57651 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,72 ms,338 Mbps,43315 kB/s
192.9.158.188,443,2a09:bac1:7680:1cf0::1d2:a1,US,San Jose,隧道,4 ms,72 Mbps,9337 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,31 ms,49 Mbps,6278 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,51 ms,272 Mbps,34816 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,73 ms,48 Mbps,6228 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,226 ms,46 Mbps,5969 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,154 ms,38 Mbps,4988 kB/s
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,106 ms,32 Mbps,4151 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,157 ms,104 Mbps,13312 kB/s
129.146.175.160,443,129.146.175.160,US,Los Angeles,中转,196 ms,308 Mbps,39424 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,160 ms,120 Mbps,15360 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,160 ms,125 Mbps,16076 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,147 ms,130 Mbps,16691 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:10e,KR,Seoul,隧道,128 ms,150 Mbps,19251 kB/s
