中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
141.144.200.82,443,2a0b:21c0:1007:ca:0:5746:296f:a0aa,DE,Frankfurt,隧道,155 ms,120 Mbps,15360 kB/s
158.180.65.13,443,158.180.65.13,KR,Seoul,中转,130 ms,45 Mbps,5840 kB/s
129.146.47.72,443,104.28.205.110,US,Los Angeles,隧道,72 ms,64 Mbps,8317 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,65 ms,367 Mbps,47001 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,108 ms,191 Mbps,24473 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,140 ms,146 Mbps,18739 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,143 ms,128 Mbps,16384 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,77 ms,13 Mbps,1724 kB/s
193.122.107.147,443,193.122.107.147,KR,Seoul,中转,129 ms,43 Mbps,5517 kB/s
141.147.98.242,443,98.98.166.194,AE,Frankfurt,隧道,154 ms,80 Mbps,10342 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,75 ms,6 Mbps,850 kB/s
138.3.254.39,443,138.3.254.39,103 Mbps,13209 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,,colo.txt:Los Angeles,隧道,0 ms,52 Mbps,6763 kB/s
103.137.63.2,443,61.224.108.65,TW,,隧道,135 ms,38 Mbps,4897 kB/s
44.230.218.23,443,52.35.136.129,US,,隧道,21 ms,560 Mbps,71782 kB/s
141.148.233.42,443,98.98.156.30,AE,Frankfurt,隧道,155 ms,81 Mbps,10444 kB/s
150.230.249.48,443,150.230.249.48,KR,Seoul,中转,132 ms,136 Mbps,17408 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,231 ms,125 Mbps,16076 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,150 ms,106 Mbps,13619 kB/s
132.226.208.47,443,2a0b:21c0:1007:ca:0:d1ed:e7cc:98c9,DE,Frankfurt,隧道,158 ms,118 Mbps,15155 kB/s
152.67.141.129,443,98.98.156.14,AE,Frankfurt,隧道,154 ms,104 Mbps,13312 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,130 ms,73 Mbps,9356 kB/s
141.147.73.148,443,141.147.73.148,GB,London,中转,143 ms,132 Mbps,16998 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,153 ms,43 Mbps,5540 kB/s
141.147.113.80,443,98.98.156.22,AE,Frankfurt,隧道,155 ms,87 Mbps,11161 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,160 ms,108 Mbps,13926 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,172 ms,41 Mbps,5329 kB/s
152.67.212.141,443,152.67.212.141,KR,Seoul,中转,130 ms,132 Mbps,16998 kB/s
141.144.229.82,443,2a0b:21c0:100a:1b6:0:a1f2:9a6b:339a,DE,Frankfurt,隧道,156 ms,85 Mbps,10956 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,176 ms,0 Mbps,2 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,173 ms,3 Mbps,400 kB/s
130.61.195.167,443,2606:f240:f00:a683:0:4b27:230b:5726,US,Frankfurt,隧道,155 ms,84 Mbps,10752 kB/s
130.162.162.154,443,2a0b:21c0:1007:cb:0:3ef7:f596:a073,DE,Frankfurt,隧道,300 ms,79 Mbps,10137 kB/s
150.230.23.156,443,2a0b:21c0:1007:1c8:0:c047:78c2:cc2a,DE,Frankfurt,隧道,162 ms,104 Mbps,13414 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,259 ms,12 Mbps,1541 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,158 ms,99 Mbps,12697 kB/s
130.162.52.64,443,2a0b:21c0:100a:1b2:0:6b26:488:f9a,DE,Frankfurt,隧道,155 ms,98 Mbps,12595 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,226 ms,3 Mbps,471 kB/s
103.137.63.3,443,122.118.171.50,TW,,隧道,133 ms,148 Mbps,18944 kB/s
168.138.201.0,443,168.138.201.0,JP,Tokyo,中转,162 ms,44 Mbps,5675 kB/s
54.203.85.46,443,204.110.220.36,US,,隧道,108 ms,677 Mbps,86732 kB/s
204.110.220.3,443,204.110.220.206,US,,隧道,24 ms,564 Mbps,72192 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,81 ms,468 Mbps,59904 kB/s
8.222.67.79,443,8.221.33.169,US,Ashburn,隧道,177 ms,149 Mbps,19148 kB/s
18.191.122.211,443,3.130.64.226,US,,隧道,83 ms,340 Mbps,43622 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,23 ms,795 Mbps,101785 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,169 ms,77 Mbps,9930 kB/s
34.69.150.180,443,34.69.150.180,US,,中转,53 ms,418 Mbps,53555 kB/s
3.138.59.154,443,3.130.64.226,US,,隧道,90 ms,89 Mbps,11468 kB/s
43.204.146.16,443,43.204.146.16,IN,,中转,224 ms,60 Mbps,7800 kB/s
129.159.241.172,443,129.159.241.172,DE,,中转,251 ms,57 Mbps,7299 kB/s
18.192.93.64,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,156 ms,123 Mbps,15769 kB/s
3.127.55.133,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,157 ms,112 Mbps,14438 kB/s
3.66.115.225,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,156 ms,120 Mbps,15360 kB/s
192.18.134.231,443,192.18.134.231,US,San Jose,中转,9 ms,283 Mbps,36249 kB/s
144.24.243.207,443,144.24.243.207,CH,,中转,223 ms,63 Mbps,8097 kB/s
35.157.240.237,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,156 ms,110 Mbps,14131 kB/s
141.148.225.116,443,98.98.156.26,AE,Frankfurt,隧道,155 ms,88 Mbps,11264 kB/s
18.185.254.189,443,3.68.128.205,DE,,隧道,156 ms,115 Mbps,14745 kB/s
3.67.232.136,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,156 ms,115 Mbps,14745 kB/s
18.159.105.97,443,3.68.128.205,DE,,隧道,156 ms,115 Mbps,14745 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,75 ms,46 Mbps,6009 kB/s
18.156.209.101,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,156 ms,108 Mbps,13926 kB/s
193.122.110.171,443,193.122.110.171,KR,Seoul,中转,134 ms,41 Mbps,5341 kB/s
130.61.170.78,443,130.61.170.78,DE,Frankfurt,中转,154 ms,76 Mbps,9745 kB/s
129.146.60.210,443,129.146.60.210,US,Los Angeles,中转,19 ms,455 Mbps,58265 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,153 ms,100 Mbps,12800 kB/s
143.47.242.195,443,143.47.242.195,GB,London,中转,141 ms,39 Mbps,5032 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,51 ms,1136 Mbps,145408 kB/s
144.24.80.56,443,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Seoul,隧道,130 ms,152 Mbps,19558 kB/s
47.90.141.204,443,91.149.239.122,US,Los Angeles,隧道,75 ms,0 Mbps,95 kB/s
152.67.222.167,443,152.67.222.167,KR,Seoul,中转,131 ms,46 Mbps,5944 kB/s
129.159.22.4,443,129.159.22.4,IN,Chennai,中转,213 ms,29 Mbps,3756 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,69 ms,62 Mbps,8055 kB/s
158.101.24.17,443,158.101.24.17,US,Los Angeles,中转,38 ms,58 Mbps,7457 kB/s
132.226.31.178,443,2a09:bac1:76e0:e18::26a:8,US,Los Angeles,隧道,58 ms,38 Mbps,4926 kB/s
141.147.83.38,443,2606:f240:f00:eaf1:0:e2d8:6841:cb79,US,Frankfurt,隧道,152 ms,81 Mbps,10444 kB/s
150.136.61.148,443,2603:c020:4009:349a:e5b2:21c2:5db7:b3d3,US,Ashburn,隧道,75 ms,49 Mbps,6317 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,72 ms,372 Mbps,47616 kB/s
141.147.68.160,443,2a0b:21c0:100a:1b4:0:eb64:6eb2:d5e2,DE,Frankfurt,隧道,155 ms,100 Mbps,12800 kB/s
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,156 ms,32 Mbps,4212 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,180 ms,33 Mbps,4242 kB/s
132.226.208.217,443,2a0b:21c0:100a:1b7:0:34a8:c694:5fea,DE,Frankfurt,隧道,213 ms,98 Mbps,12595 kB/s
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,174 ms,0 Mbps,35 kB/s
152.70.185.220,443,2a0b:21c0:100a:1b7:0:c18e:fb48:e1f2,DE,Frankfurt,隧道,230 ms,108 Mbps,13926 kB/s
141.144.197.111,443,141.144.197.111,NL,Amsterdam,中转,149 ms,108 Mbps,13926 kB/s
141.148.247.156,443,2a0b:21c0:100a:1b3:0:ee9d:c136:74d9,DE,Frankfurt,隧道,240 ms,80 Mbps,10342 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,74 ms,131 Mbps,16793 kB/s
132.226.1.227,443,2603:c021:8001:801:f494:88cb:3117:e10,JP,Tokyo,隧道,157 ms,89 Mbps,11468 kB/s
141.147.88.50,443,98.98.156.22,AE,Frankfurt,隧道,235 ms,71 Mbps,9206 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,18 ms,455 Mbps,58265 kB/s
64.110.101.31,443,2a09:bac1:3b60:b8::2ff:61,JP,Osaka,隧道,252 ms,40 Mbps,5194 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,218 ms,148 Mbps,18944 kB/s
138.2.126.79,443,2602:ffe4:407:20d9:0:e753:fef4:595d,SG,Singapore,隧道,193 ms,87 Mbps,11161 kB/s
152.67.146.213,443,2a0b:21c0:100a:1b0:0:2848:e89c:eae5,DE,Frankfurt,隧道,155 ms,96 Mbps,12288 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,69 ms,289 Mbps,37068 kB/s
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,84 ms,42 Mbps,5438 kB/s
152.70.189.128,443,98.98.166.178,AE,Frankfurt,隧道,155 ms,108 Mbps,13926 kB/s
152.70.107.108,443,128.14.104.155,US,Singapore,隧道,180 ms,92 Mbps,11776 kB/s
141.147.69.71,443,2a0b:21c0:100a:1fa:0:a347:26bb:663d,DE,Frankfurt,隧道,257 ms,90 Mbps,11571 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:10e,KR,Seoul,隧道,211 ms,139 Mbps,17817 kB/s
158.101.175.51,443,158.101.175.51,DE,Frankfurt,中转,154 ms,34 Mbps,4376 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,1100 ms,312 Mbps,40038 kB/s
150.230.6.108,443,150.230.6.108,JP,Osaka,中转,250 ms,102 Mbps,13107 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,231 ms,37 Mbps,4816 kB/s
129.151.148.35,443,2a09:bac1:200:8::3c:16,AE,Dubai,隧道,259 ms,25 Mbps,3303 kB/s
193.123.33.178,443,2a0b:21c0:100a:1f9:0:ea60:b4ea:e4d9,DE,Frankfurt,隧道,240 ms,89 Mbps,11468 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,155 ms,107 Mbps,13721 kB/s
138.2.170.9,443,2606:f240:f00:83a7:0:6655:7d84:16b7,US,Frankfurt,隧道,155 ms,94 Mbps,12083 kB/s
144.21.63.163,443,2a0b:21c0:1007:1ca:0:ed3:e40:851f,DE,Frankfurt,隧道,154 ms,74 Mbps,9498 kB/s
150.230.23.120,443,209.177.81.218,US,Frankfurt,隧道,155 ms,100 Mbps,12902 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,141 ms,38 Mbps,4942 kB/s
138.2.156.13,443,2a0b:21c0:1007:c7:0:69d4:77f:5c96,DE,Frankfurt,隧道,155 ms,75 Mbps,9666 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,158 ms,71 Mbps,9200 kB/s
64.110.75.56,443,2602:ffe4:407:20d9:0:5e11:9010:4441,SG,Singapore,隧道,196 ms,88 Mbps,11264 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,149 ms,44 Mbps,5700 kB/s
143.47.250.137,443,163.123.193.23,DE,Frankfurt,隧道,153 ms,77 Mbps,9932 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,149 ms,111 Mbps,14233 kB/s
152.70.63.77,443,2606:f240:f00:a683:0:f07e:211a:6705,US,Frankfurt,隧道,159 ms,97 Mbps,12492 kB/s
8.213.137.24,443,8.213.137.24,SG,,中转,129 ms,77 Mbps,9939 kB/s
3.68.62.122,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,158 ms,104 Mbps,13414 kB/s
193.123.69.77,443,193.123.69.77,AE,,中转,253 ms,21 Mbps,2714 kB/s
47.57.14.118,443,47.254.16.242,US,San Jose,隧道,0 ms,0 Mbps,9 kB/s
