中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,72 ms,257 Mbps,32972 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,30 ms,357 Mbps,45772 kB/s
192.9.138.241,443,192.9.138.241,US,1688 Mbps,216064 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,2 ms,1144 Mbps,146432 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,62 ms,55 Mbps,7129 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,21 ms,920 Mbps,117760 kB/s
198.46.188.190,443,2a09:bac5:a5fc:1ed2::312:2b,US,Toronto,隧道,82 ms,103 Mbps,13209 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,18 ms,435 Mbps,55705 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,1952 Mbps,249856 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,44 ms,888 Mbps,113664 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,89 ms,162 Mbps,20787 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,18 ms,1552 Mbps,198656 kB/s
192.9.158.188,443,2a09:bac1:7680:1cf0::1d3:56,US,San Jose,隧道,2 ms,73 Mbps,9385 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,182 ms,118 Mbps,15155 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,16 ms,736 Mbps,94310 kB/s
140.238.195.98,443,140.238.195.98,AU,Sydney,中转,141 ms,42 Mbps,5398 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,71 ms,408 Mbps,52224 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,78 ms,660 Mbps,84480 kB/s
129.146.175.160,443,129.146.175.160,US,Los Angeles,中转,146 ms,428 Mbps,54886 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,154 ms,527 Mbps,67481 kB/s
129.153.126.67,443,2a09:bac5:60ef:78::c:38b,US,Los Angeles,隧道,17 ms,35 Mbps,4509 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,61 ms,52 Mbps,6670 kB/s
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,106 ms,32 Mbps,4196 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,28 ms,1840 Mbps,235520 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,87 ms,368 Mbps,47206 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,65 ms,625 Mbps,80076 kB/s
152.70.119.237,443,2a09:bac5:6443:28::4:243,US,San Jose,隧道,93 ms,43 Mbps,5518 kB/s
