中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
43.204.146.16,443,43.204.146.16,IN,,中转,229 ms,46 Mbps,6009 kB/s
144.24.243.207,443,144.24.243.207,CH,,中转,166 ms,49 Mbps,6351 kB/s
3.66.115.225,443,3.68.128.205,DE,,隧道,159 ms,100 Mbps,12902 kB/s
192.9.158.188,443,2a09:bac1:7680:1cf0::1d3:56,US,San Jose,隧道,28 ms,70 Mbps,9053 kB/s
168.138.66.11,443,168.138.66.11,CA,Montréal,中转,75 ms,42 Mbps,5380 kB/s
3.68.62.122,443,3.68.128.205,DE,,隧道,159 ms,101 Mbps,13004 kB/s
18.156.209.101,443,3.68.128.205,DE,,隧道,159 ms,100 Mbps,12902 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,153 ms,120 Mbps,15462 kB/s
140.238.28.86,443,140.238.28.86,KR,Seoul,中转,129 ms,148 Mbps,18944 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,158 ms,80 Mbps,10240 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,62 ms,45 Mbps,5883 kB/s
3.127.55.133,443,3.68.128.205,DE,,隧道,158 ms,122 Mbps,15667 kB/s
8.209.217.106,443,8.209.217.106,JP,Tokyo,中转,106 ms,37 Mbps,4808 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,149 ms,44 Mbps,5655 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,19 ms,64 Mbps,8219 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,40 ms,55 Mbps,7100 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,167 ms,92 Mbps,11776 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,24 ms,1464 Mbps,187392 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,73 ms,6 Mbps,861 kB/s
129.146.47.72,443,104.28.205.110,US,Los Angeles,隧道,20 ms,54 Mbps,6994 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,36 ms,396 Mbps,50688 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,110 ms,141 Mbps,18124 kB/s
158.101.175.51,443,158.101.175.51,DE,Frankfurt,中转,155 ms,0 Mbps,51 kB/s
141.148.225.116,443,98.98.156.26,AE,Frankfurt,隧道,155 ms,100 Mbps,12902 kB/s
141.144.229.82,443,2a0b:21c0:100a:1b6:0:a1f2:9a6b:339a,DE,Frankfurt,隧道,155 ms,79 Mbps,10137 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,149 ms,119 Mbps,15257 kB/s
141.147.113.80,443,98.98.156.22,AE,Frankfurt,隧道,154 ms,78 Mbps,10035 kB/s
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,255 ms,0 Mbps,6 kB/s
47.90.141.204,443,91.149.239.238,US,Los Angeles,隧道,70 ms,1 Mbps,161 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,172 ms,39 Mbps,5093 kB/s
143.47.242.195,443,143.47.242.195,GB,London,中转,143 ms,44 Mbps,5648 kB/s
130.162.52.64,443,2a0b:21c0:100a:1b2:0:6b26:488:f9a,DE,Frankfurt,隧道,155 ms,88 Mbps,11264 kB/s
158.180.65.13,443,158.180.65.13,KR,Seoul,中转,131 ms,39 Mbps,5020 kB/s
132.226.208.217,443,2a0b:21c0:100a:1b7:0:34a8:c694:5fea,DE,Frankfurt,隧道,154 ms,106 Mbps,13619 kB/s
141.148.247.156,443,2a0b:21c0:100a:1b3:0:ee9d:c136:74d9,DE,Frankfurt,隧道,155 ms,79 Mbps,10137 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,18 ms,440 Mbps,56320 kB/s
64.110.101.31,443,2a09:bac1:3b60:b8::2ff:61,JP,Osaka,隧道,153 ms,32 Mbps,4209 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,77 ms,45 Mbps,5887 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,75 ms,50 Mbps,6403 kB/s
141.144.200.82,443,2a0b:21c0:1007:ca:0:5746:296f:a0aa,DE,Frankfurt,隧道,155 ms,120 Mbps,15360 kB/s
150.230.23.120,443,209.177.81.218,US,Frankfurt,隧道,155 ms,105 Mbps,13516 kB/s
138.2.156.13,443,2a0b:21c0:1007:c7:0:69d4:77f:5c96,DE,Frankfurt,隧道,155 ms,99 Mbps,12697 kB/s
8.211.54.130,443,8.211.54.130,DE,Frankfurt,中转,287 ms,32 Mbps,4171 kB/s
144.24.80.56,443,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Seoul,隧道,130 ms,139 Mbps,17817 kB/s
150.230.23.156,443,2a0b:21c0:1007:1c8:0:c047:78c2:cc2a,DE,Frankfurt,隧道,155 ms,98 Mbps,12595 kB/s
141.147.69.71,443,2a0b:21c0:100a:1fa:0:a347:26bb:663d,DE,Frankfurt,隧道,215 ms,116 Mbps,14950 kB/s
152.70.189.128,443,98.98.166.178,AE,Frankfurt,隧道,157 ms,99 Mbps,12697 kB/s
132.226.208.47,443,2a0b:21c0:1007:ca:0:d1ed:e7cc:98c9,DE,Frankfurt,隧道,314 ms,109 Mbps,14028 kB/s
193.123.33.178,443,2a0b:21c0:100a:1f9:0:ea60:b4ea:e4d9,DE,Frankfurt,隧道,220 ms,92 Mbps,11776 kB/s
143.47.250.137,443,163.123.193.23,DE,Frankfurt,隧道,154 ms,74 Mbps,9485 kB/s
144.21.63.163,443,2a0b:21c0:1007:1ca:0:ed3:e40:851f,DE,Frankfurt,隧道,154 ms,74 Mbps,9591 kB/s
129.151.148.35,443,2a09:bac1:200:8::3c:16,AE,Dubai,隧道,262 ms,29 Mbps,3804 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,42 ms,90 Mbps,11571 kB/s
141.147.83.38,443,2606:f240:f00:eaf1:0:e2d8:6841:cb79,US,Frankfurt,隧道,155 ms,69 Mbps,8921 kB/s
129.159.241.172,443,129.159.241.172,DE,,中转,155 ms,31 Mbps,4082 kB/s
3.67.232.136,443,3.68.128.205,DE,,隧道,157 ms,100 Mbps,12902 kB/s
18.159.105.97,443,3.68.128.205,DE,,隧道,157 ms,100 Mbps,12902 kB/s
18.185.254.189,443,3.68.128.205,DE,,隧道,156 ms,104 Mbps,13414 kB/s
35.157.240.237,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,157 ms,104 Mbps,13312 kB/s
193.123.69.77,443,193.123.69.77,AE,,中转,255 ms,18 Mbps,2370 kB/s
18.192.93.64,443,3.68.128.205,DE,,隧道,158 ms,128 Mbps,16384 kB/s
